id SMILES S0S1 S0T1 T1S1 OS
235 NC1=NC2=NC=NC3=NC=CC(=C1)N23 2.430319 2.5581 -0.127781 0.009678
236 NC1=NC2=NC=CC3=CC=NC(=N1)N23 2.366122 2.421138 -0.055016 0.029238
237 NC1=CN=C2N=CN=C3N=CC=C1N23 1.876289 1.94116 -0.064871 0.00934
238 CNC1=NC2=NC=NC3=NC=CC(=C1)N23 2.458336 2.565358 -0.107022 0.011353
239 CNC1=NC2=NC=CC3=CC=NC(=N1)N23 2.386167 2.43039 -0.044223 0.031089
240 CNC1=CN=C2N=CN=C3N=CC=C1N23 1.936725 2.048759 -0.112034 0.00678
241 C=CC1=NC2=NC=NC3=NC=CC(=C1)N23 2.016306 2.15423 -0.137924 0.013345
242 C=CC1=NC2=NC=CC3=CC=NC(=N1)N23 2.01206 2.189164 -0.177104 0.00279
243 C=CC1=CN=C2N=CN=C3N=CC=C1N23 1.975021 2.131084 -0.156063 0.003996
244 C#CC1=NC2=NC=NC3=NC=CC(=C1)N23 1.947937 2.081632 -0.133695 0.010078
245 C#CC1=NC2=NC=CC3=CC=NC(=N1)N23 1.9694 2.148295 -0.178895 0.00171
246 C#CC1=CN=C2N=CN=C3N=CC=C1N23 2.008379 2.181517 -0.173138 0.004475
247 [C-]#[N+]C1=NC2=NC=NC3=NC=CC(=C1)N23 1.991226 2.141907 -0.150681 0.00856
248 [C-]#[N+]C1=NC2=NC=CC3=CC=NC(=N1)N23 2.042539 2.21014 -0.167601 0.002954
249 [C-]#[N+]C1=CN=C2N=CN=C3N=CC=C1N23 2.00702 2.181039 -0.174019 0.004271
250 N#CC1=NC2=NC=NC3=NC=CC(=C1)N23 1.916617 2.018583 -0.101966 0.009022
251 N#CC1=NC2=NC=CC3=CC=NC(=N1)N23 1.965941 2.127406 -0.161465 0.001101
252 N#CC1=CN=C2N=CN=C3N=CC=C1N23 2.081446 2.275236 -0.19379 0.003271
253 CN(C)C1=NC2=NC=NC3=NC=CC(=C1)N23 2.441284 2.558231 -0.116947 0.014199
254 CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N23 2.389111 2.433359 -0.044248 0.030476
255 CN(C)C1=CN=C2N=CN=C3N=CC=C1N23 1.933501 2.038937 -0.105436 0.006657
